Time,Position,PnL
12:23:52,0.01,0
12:23:52,0.02,0
12:23:52,0.03,0
12:23:52,0.04,0
12:23:52,0.05,0
12:23:52,0.06,0
12:23:52,0.07,0
12:23:52,0.08,0
12:23:52,0.09,0
12:23:52,0.1,1.45519e-13
12:23:52,0.11,2.91038e-13
12:23:52,0.12,4.36557e-13
12:23:52,0.13,5.82077e-13
12:23:52,0.14,7.27596e-13
12:23:52,0.15,8.73115e-13
12:23:52,0.16,1.01863e-12
12:23:52,0.17,1.01863e-12
12:23:52,0.18,1.01863e-12
12:23:52,0.19,1.01863e-12
12:23:52,0.2,8.73115e-13
12:23:53,0.21,7.27596e-13
12:23:53,0.22,5.82077e-13
12:23:53,0.23,4.36557e-13
12:23:53,0.24,1.45519e-13
12:23:53,0.25,-1.45519e-13
12:23:53,0.26,-2.91038e-13
12:23:53,0.27,-5.82077e-13
12:23:53,0.28,-8.73115e-13
12:23:53,0.29,-1.16415e-12
12:23:54,0.3,-1.45519e-12
12:23:54,0.31,-1.74623e-12
12:23:54,0.32,-2.03727e-12
12:23:54,0.33,-2.32831e-12
12:23:54,0.34,-2.61934e-12
12:23:54,0.35,-2.91038e-12
12:23:54,0.36,-3.20142e-12
12:23:54,0.37,-3.49246e-12
12:23:54,0.38,-3.7835e-12
12:23:54,0.39,-4.22006e-12
12:23:54,0.4,-4.65661e-12
12:23:54,0.41,-5.09317e-12
12:23:54,0.42,-5.52973e-12
12:23:54,0.43,-5.96629e-12
12:23:54,0.44,-6.54836e-12
12:23:54,0.45,-7.13044e-12
12:23:54,0.46,-0.0097
12:23:54,0.47,-0.0191891
12:23:54,0.48,-0.0284764
12:23:54,0.49,-0.0375701
12:23:54,0.5,-0.0464783
12:23:54,0.51,-0.0552083
12:23:54,0.52,-0.0637671
12:23:54,0.53,-0.0729113
12:23:54,0.54,-0.090833
12:23:54,0.55,-0.108423
12:23:54,0.56,-0.125693
12:23:54,0.57,-0.142654
12:23:54,0.58,-0.159318
12:23:54,0.59,-0.175695
12:23:54,0.6,-0.191794
12:23:54,0.61,-0.207625
