Time,ExchangeTS,LocalTS,ProcessingTS,Engine_Latency_us
12:23:38,84388904376,1767509618175,1767509618179,4
12:23:38,84388904376,1767509618175,1767509618220,45
12:23:38,1767509624314,1767509618897,1767509618903,6
12:23:49,1767509634714,1767509629298,1767509629307,9
12:23:55,1767509640414,1767509635000,1767509635012,12
12:24:04,1767509649814,1767509644396,1767509644411,15
12:24:11,1767509656714,1767509651298,1767509651311,13
12:24:15,1767509660514,1767509655099,1767509655112,13
12:24:19,1767509665114,1767509659696,1767509659709,13
12:24:26,1767509672114,1767509666697,1767509666704,7
12:24:35,1767509680214,1767509674796,1767509675128,332
12:24:40,1767509686114,1767509680696,1767509680706,10
12:24:48,1767509693714,1767509688296,1767509688300,4
12:24:58,1767509703914,1767509698498,1767509698505,7
12:25:05,1767509711314,1767509705896,1767509705912,16
12:25:06,1767509711714,1767509706388,1767509706402,14
12:25:06,1767509712014,1767509706653,1767509706667,14
12:25:10,1767509715514,1767509710097,1767509710113,16
12:25:10,1767509716114,1767509710696,1767509710711,15
12:25:13,1767509719114,1767509713698,1767509713705,7
12:25:23,1767509728414,1767509722998,1767509723009,11
