Time,GrossPnL,NetPnL,Fees
12:23:52,0,0,0
12:23:52,0,0,0
12:23:52,0,0,0
12:23:52,0,0,0
12:23:52,0,0,0
12:23:52,0,0,0
12:23:52,0,0,0
12:23:52,0,0,0
12:23:52,0,0,0
12:23:52,1.45519e-13,1.45519e-13,0
12:23:52,2.91038e-13,2.91038e-13,0
12:23:52,4.36557e-13,4.36557e-13,0
12:23:52,5.82077e-13,5.82077e-13,0
12:23:52,7.27596e-13,7.27596e-13,0
12:23:52,8.73115e-13,8.73115e-13,0
12:23:52,1.01863e-12,1.01863e-12,0
12:23:52,1.01863e-12,1.01863e-12,0
12:23:52,1.01863e-12,1.01863e-12,0
12:23:52,1.01863e-12,1.01863e-12,0
12:23:52,8.73115e-13,8.73115e-13,0
12:23:53,7.27596e-13,7.27596e-13,0
12:23:53,5.82077e-13,5.82077e-13,0
12:23:53,4.36557e-13,4.36557e-13,0
12:23:53,1.45519e-13,1.45519e-13,0
12:23:53,-1.45519e-13,-1.45519e-13,0
12:23:53,-2.91038e-13,-2.91038e-13,0
12:23:53,-5.82077e-13,-5.82077e-13,0
12:23:53,-8.73115e-13,-8.73115e-13,0
12:23:53,-1.16415e-12,-1.16415e-12,0
12:23:54,-1.45519e-12,-1.45519e-12,0
12:23:54,-1.74623e-12,-1.74623e-12,0
12:23:54,-2.03727e-12,-2.03727e-12,0
12:23:54,-2.32831e-12,-2.32831e-12,0
12:23:54,-2.61934e-12,-2.61934e-12,0
12:23:54,-2.91038e-12,-2.91038e-12,0
12:23:54,-3.20142e-12,-3.20142e-12,0
12:23:54,-3.49246e-12,-3.49246e-12,0
12:23:54,-3.7835e-12,-3.7835e-12,0
12:23:54,-4.22006e-12,-4.22006e-12,0
12:23:54,-4.65661e-12,-4.65661e-12,0
12:23:54,-5.09317e-12,-5.09317e-12,0
12:23:54,-5.52973e-12,-5.52973e-12,0
12:23:54,-5.96629e-12,-5.96629e-12,0
12:23:54,-6.54836e-12,-6.54836e-12,0
12:23:54,-7.13044e-12,-7.13044e-12,0
12:23:54,-0.0097,-0.0097,0
12:23:54,-0.0191891,-0.0191891,0
