Time,ExchangeTS_ms,LocalTS_ms,ProcessingTS_ms,Ingest_Latency_us,Processing_Latency_us
22:13:36,1767804216510,1767804216510,1767804216521,0,11
22:13:36,1767804216510,1767804216510,1767804216538,0,28
22:13:36,1767804217915,1767804216530,1767804216543,-1385,13
22:13:38,1767804219614,1767804217993,1767804218007,-1621,14
22:13:39,1767804221514,1767804219891,1767804219903,-1623,12
22:13:41,1767804223014,1767804221393,1767804221404,-1621,11
22:13:43,1767804224714,1767804223094,1767804223105,-1620,11
22:13:46,1767804228514,1767804226892,1767804226903,-1622,11
22:13:51,1767804233514,1767804231888,1767804231898,-1626,10
22:13:53,1767804234614,1767804232995,1767804233018,-1619,23
22:13:53,1767804235014,1767804233397,1767804233411,-1617,14
22:13:53,1767804235320,1767804233691,1767804233710,-1629,19
22:13:53,1767804235414,1767804233792,1767804233802,-1622,10
22:13:54,1767804235714,1767804234091,1767804234102,-1623,11
22:13:54,1767804236414,1767804234791,1767804234801,-1623,10
22:13:56,1767804238214,1767804236591,1767804236602,-1623,11
22:13:58,1767804239814,1767804238191,1767804238201,-1623,10
22:13:59,1767804241114,1767804239496,1767804239507,-1618,11
22:14:03,1767804243538,1767804241907,1767804243795,-1631,1888
22:14:01,1767804243538,1767804241925,1767804241936,-1613,11
22:14:02,1767804243814,1767804242194,1767804242244,-1620,50
22:14:02,1767804244523,1767804242890,1767804242900,-1633,10
22:14:03,1767804244914,1767804243293,1767804243304,-1621,11
22:14:03,1767804245314,1767804243691,1767804243702,-1623,11
22:14:04,1767804246514,1767804244894,1767804244905,-1620,11
22:14:05,1767804247414,1767804245795,1767804245807,-1619,12
22:14:06,1767804247914,1767804246294,1767804246305,-1620,11
22:14:07,1767804249414,1767804247793,1767804247806,-1621,13
22:14:09,1767804251114,1767804249494,1767804249506,-1620,12
22:14:12,1767804254214,1767804252586,1767804252599,-1628,13
22:14:16,1767804257814,1767804256194,1767804256208,-1620,14
