Time,Position_BTC,PnL_USD
23:05:41,0.01,0
23:05:41,0,-0.0001
23:05:41,-0.01,-0.0001
23:05:41,-0.02,-0.0001
23:05:41,-0.03,-0.0001
23:05:41,-0.04,-0.0001
23:05:41,-0.05,-0.0001
23:05:41,-0.06,-0.0001
23:05:41,-0.07,-0.0001
23:05:41,-0.08,-0.0001
23:05:41,-0.09,-0.0001
23:05:41,-0.1,-0.0001
23:05:41,-0.11,-0.0001
23:05:41,-0.12,-0.0001
23:05:41,-0.13,-0.0001
23:05:41,-0.14,-0.0001
23:05:41,-0.15,-0.0001
23:05:41,-0.16,-0.0001
23:05:41,-0.17,-0.0001
23:05:41,-0.18,-0.0001
23:05:41,-0.19,-0.0001
23:05:41,-0.2,-0.0001
23:05:41,-0.21,-0.0001
23:05:41,-0.22,-0.0001
23:05:41,-0.23,-0.0001
23:05:41,-0.24,-0.0001
23:05:41,-0.25,-0.0001
23:05:41,-0.26,-0.0001
23:05:41,-0.27,-0.0001
23:05:43,-0.26,0.3219
23:05:43,-0.25,0.656285
23:05:43,-0.24,1.00404
23:05:43,-0.23,1.36629
23:05:43,-0.22,1.74429
23:05:43,-0.21,2.13948
23:05:43,-0.2,2.62008
23:05:43,-0.19,3.12471
23:05:43,-0.18,3.6559
23:05:43,-0.17,4.2166
23:05:43,-0.16,4.81028
23:05:43,-0.15,5.44107
23:05:43,-0.14,6.11391
23:05:43,-0.13,6.83481
23:05:43,-0.12,7.61116
23:05:43,-0.11,8.45221
23:05:43,-0.1,9.36972
23:05:43,-0.09,10.379
23:05:43,-0.08,11.5004
23:05:43,-0.07,12.762
23:05:43,-0.06,14.2038
23:05:43,-0.05,15.8859
23:05:43,-0.04,17.9044
23:05:43,-0.03,20.4275
23:05:43,-0.02,23.7917
23:05:43,-0.01,28.838
23:05:43,3.1225e-17,38.9306
23:05:43,0.01,-852.748
23:05:43,0.02,-852.748
23:05:43,0.03,-852.748
23:05:43,0.04,-852.748
23:05:43,0.05,-852.748
23:05:43,0.06,-852.748
23:05:43,0.07,-852.748
23:05:50,0.08,-852.675
23:05:50,0.09,-852.611
23:05:50,0.1,-852.555
23:05:50,0.11,-852.504
23:05:50,0.12,-852.458
23:05:50,0.13,-852.415
23:05:50,0.14,-852.376
23:05:50,0.15,-852.34
23:05:50,0.16,-852.306
23:05:50,0.17,-852.274
23:05:50,0.18,-852.244
23:05:50,0.19,-852.216
23:05:50,0.2,-852.189
23:05:50,0.21,-852.164
23:05:50,0.22,-852.139
23:05:50,0.23,-852.116
23:05:50,0.24,-852.094
23:05:50,0.25,-852.073
23:05:50,0.26,-852.053
23:05:50,0.27,-852.033
23:05:50,0.28,-852.014
23:05:50,0.29,-851.996
23:05:50,0.3,-851.978
23:05:50,0.31,-851.962
23:05:50,0.32,-851.945
23:05:50,0.33,-851.929
23:05:50,0.34,-851.914
23:05:50,0.35,-851.899
23:05:50,0.36,-851.884
23:05:50,0.37,-851.87
23:05:50,0.38,-851.856
23:05:50,0.39,-851.843
23:05:50,0.4,-851.83
23:05:50,0.41,-851.817
23:05:50,0.42,-851.805
23:05:50,0.43,-851.793
23:05:50,0.44,-851.781
23:05:50,0.45,-851.769
23:05:50,0.46,-851.758
23:05:52,0.45,-851.975
23:05:52,0.44,-852.196
23:05:52,0.43,-852.423
23:05:52,0.42,-852.655
23:05:52,0.41,-852.892
23:05:52,0.4,-853.135
23:05:52,0.41,-852.886
23:05:52,0.42,-852.643
23:05:52,0.43,-852.406
23:05:52,0.44,-852.174
23:05:52,0.45,-851.948
23:05:52,0.46,-851.726
23:05:52,0.47,-851.509
23:05:52,0.48,-851.297
23:05:52,0.49,-851.09
23:05:52,0.5,-850.886
23:05:52,0.51,-850.687
23:05:52,0.52,-850.491
23:05:52,0.53,-850.3
23:05:52,0.54,-850.112
23:05:52,0.55,-849.927
23:05:52,0.56,-849.746
23:05:52,0.57,-849.568
23:05:52,0.58,-849.393
23:05:52,0.59,-849.221
23:05:52,0.6,-849.052
23:05:53,0.61,-848.886
23:05:53,0.62,-848.723
23:05:53,0.63,-848.562
23:05:53,0.64,-848.404
23:05:53,0.65,-848.248
23:05:53,0.66,-848.095
23:05:53,0.67,-847.944
23:05:53,0.68,-847.795
23:05:53,0.69,-847.648
23:05:53,0.7,-847.504
23:05:53,0.71,-847.362
23:05:55,0.7,-847.464
23:05:55,0.69,-847.569
